Date,mgCm2d,,0,1,2,3,4,5,6,7,8
26-Apr-10,934,,1336,321,92,0,0,0,0,0,0
5-May-10,3379,,3336,1574,251,1,0,0,0,0,0
7-May-10,3029,,3718,1267,151,0,0,0,0,0,0
10-May-10,3943,,5275,1568,140,0,0,0,0,0,0
17-May-10,1407,,2300,446,69,0,0,0,0,0,0
24-May-10,4362,,2342,2288,676,60,0,0,0,0,0
7-Jun-10,5418,,6891,2165,351,0,0,0,0,0,0
14-Jun-10,2631,,3288,1136,29,0,0,0,0,0,0
21-Jun-10,1572,,1738,684,121,0,0,0,0,0,0
28-Jun-10,4853,,3715,2312,768,16,0,0,0,0,0
6-Jul-10,3294,,3831,1459,106,0,0,0,0,0,0
12-Jul-10,2263,,3561,772,69,0,0,0,0,0,0
19-Jul-10,3131,,4156,1295,27,0,0,0,0,0,0
26-Jul-10,2846,,5108,857,0,0,0,0,0,0,0
2-Aug-10,1900,,4490,302,0,0,0,0,0,0,0
9-Aug-10,1698,,3897,299,0,0,0,0,0,0,0
16-Aug-10,1911,,4964,192,0,0,0,0,0,0,0
25-Aug-10,2357,,1969,1236,79,0,0,0,0,0,0
1-Sep-10,1208,,1091,620,27,0,0,0,0,0,0
16-Sep-10,1652,,3627,332,0,0,0,0,0,0,0
30-Sep-10,2390,,4135,759,0,0,0,0,0,0,0
14-Oct-10,1570,,3185,382,0,0,0,0,0,0,0
,,,,,,,,,,,
9-May-11,56,,140,7,0,0,0,0,0,0,0
16-May-11,1271,,2308,373,6,0,0,0,0,0,0
31-May-11,2097,,4180,527,1,0,0,0,0,0,0
13-Jun-11,1866,,2007,861,73,0,0,0,0,0,0
28-Jun-11,2832,,3001,1292,164,0,0,0,0,0,0
12-Jul-11,595,,716,258,18,0,0,0,0,0,0
25-Jul-11,2076,,2686,866,38,0,0,0,0,0,0
8-Aug-11,3504,,4698,1430,47,0,0,0,0,0,0
22-Aug-11,1457,,2464,477,0,0,0,0,0,0,0
6-Sep-11,1501,,2691,452,1,0,0,0,0,0,0
20-Sep-11,523,,1140,106,1,0,0,0,0,0,0
10-Oct-11,954,,1597,316,0,0,0,0,0,0,0
,,,,,,,,,,,
12-Apr-12,3030,,3044,1484,54,0,0,0,0,0,0
25-Apr-12,3383,,5641,1118,18,0,0,0,0,0,0
7-May-12,2411,,5281,488,0,0,0,0,0,0,0
21-May-12,1000,,1446,370,36,0,0,0,0,0,0
4-Jun-12,1455,,2560,451,0,0,0,0,0,0,0
18-Jun-12,2203,,2079,1090,86,0,0,0,0,0,0
2-Jul-12,2310,,3862,766,1,0,0,0,0,0,0
16-Jul-12,1955,,4200,416,0,0,0,0,0,0,0
30-Jul-12,1506,,3599,230,0,0,0,0,0,0,0
13-Aug-12,1269,,3457,87,0,0,0,0,0,0,0
5-Sep-12,2357,,6025,261,0,0,0,0,0,0,0
19-Sep-12,2288,,4279,646,0,0,0,0,0,0,0
3-Oct-12,748,,1602,161,0,0,0,0,0,0,0
,,,,,,,,,,,
23-Apr-13,1067,,1286,456,47,0,0,0,0,0,0
6-May-13,865,,1263,325,16,0,0,0,0,0,0
20-May-13,3286,,3078,1693,5,0,0,0,0,0,0
3-Jun-13,1494,,2429,510,7,0,0,0,0,0,0
17-Jun-13,1148,,935,552,131,10,0,0,0,0,0
1-Jul-13,1149,,1132,485,139,24,1,0,0,0,0
15-Jul-13,1740,,2801,600,11,0,0,0,0,0,0
25-Jul-13,3410,,4470,1391,98,0,0,0,0,0,0
12-Aug-13,1490,,2238,551,13,0,0,0,0,0,0
27-Aug-13,1612,,2886,485,6,0,0,0,0,0,0
9-Sep-13,1064,,1886,318,17,0,0,0,0,0,0
23-Sep-13,1487,,3879,146,0,0,0,0,0,0,0
7-Oct-13,1587,,1813,693,87,0,0,0,0,0,0
,,,,,,,,,,,
12-May-14,1086,,1080,521,46,0,0,0,0,0,0
28-May-14,3868,,2899,2056,236,2,0,0,0,0,0
2-Jun-14,1307,,2791,283,0,0,0,0,0,0,0
16-Jun-14,1274,,1336,600,44,0,0,0,0,0,0
30-Jun-14,925,,1285,361,23,0,0,0,0,0,0
15-Jul-14,1591,,2775,498,2,0,0,0,0,0,0
28-Jul-14,1100,,1892,343,19,0,0,0,0,0,0
11-Aug-14,1366,,2337,428,24,0,0,0,0,0,0
25-Aug-14,1228,,2753,233,0,0,0,0,0,0,0
8-Sep-14,1388,,2866,324,0,0,0,0,0,0,0
22-Sep-14,2375,,5162,491,0,0,0,0,0,0,0
6-Oct-14,1380,,2584,389,0,0,0,0,0,0,0
