lake,year,yday,date,o2_pp_mmolcm3d,o2_pp_025_ci,o2_pp_975_ci,c14_pp_mmolcm3d,avg_o2_pp_mmolcm3d
Acton,2010,158,2010-06-07,309.0784932301271,198.07100624265007,422.10793651382744,252.98476396636417,NA
Acton,2010,165,2010-06-14,148.24256915265568,107.79578475665357,190.2011027354891,184.16451586046125,231.12874727739018
Acton,2010,179,2010-06-28,451.1178892956568,318.44330831303824,583.8593777375651,280.0974107068521,NA
Acton,2010,193,2010-07-12,322.1124846333204,161.68216704691957,480.45860733544544,238.4272749979186,NA
Acton,2010,200,2010-07-19,387.15356032575465,227.82286552160318,543.8461194342937,226.91699275663976,362.3486887324714
Acton,2010,207,2010-07-26,57.503061622567905,2.6078021005838248,189.81441017526086,248.31404545832987,355.6738001897718
Acton,2010,214,2010-08-02,76.5763089461063,5.720030904096035,189.3289016798006,199.48380651069854,95.72038618263286
Acton,2010,221,2010-08-09,134.70427645410282,21.603843844730175,264.1249477678354,174.67321621846642,192.0269875652641
Acton,2010,228,2010-08-16,219.17486039404875,68.8553030600306,373.95761756264903,214.6365831321289,NA
Acton,2010,237,2010-08-25,199.80645015530098,75.09632552097086,325.27559866214625,92.31537757056032,NA
Acton,2011,164,2011-06-13,182.53629427395094,90.88723320750191,276.21813841336484,143.24369328115895,NA
Acton,2011,179,2011-06-28,179.42475603134912,99.1031637280467,263.7366152077609,122.07976021979852,209.2757561277512
Acton,2011,206,2011-07-25,528.6964056959757,336.2402920267505,725.2300056596243,185.74639913412707,NA
Acton,2011,220,2011-08-08,267.59091271644564,101.59695539316417,427.8249426563193,255.09949213221216,205.72739948914318
Acton,2011,234,2011-08-22,185.60909573843364,60.14908260651167,314.64058678604397,122.42943968029307,159.0243684121553
Acton,2012,156,2012-06-04,159.22342658907718,80.96599890075319,256.22699742768805,125.34343518441429,163.10740690587875
Acton,2012,170,2012-06-18,26.416054750976862,1.146480964935318,99.64596117589784,131.92073932228791,55.86988581492239
Acton,2012,184,2012-07-02,76.89007611733993,4.205535461914755,214.81437031520005,152.47481475314297,NA
Acton,2012,198,2012-07-16,506.86790464406295,343.569639812035,672.9429471418453,192.15718924319376,NA
Acton,2012,212,2012-07-30,116.55821646286074,18.526052402263765,235.297237545398,159.39555407543085,248.3892600837998
Acton,2012,226,2012-08-13,139.40003564210463,87.14376506989535,199.98128399156965,147.53142952293732,260.6950450713465
Acton,2014,181,2014-06-30,43.80795338227295,2.0114495614299046,139.73638088378158,55.386728831904094,120.5257559981631
Acton,2014,196,2014-07-15,234.4353164450863,94.65138012557408,371.8148316277187,85.94621596869537,244.33430982133223
Acton,2014,209,2014-07-28,80.17833459652667,21.945215448812956,141.95818216463664,59.15410873366081,123.19337025500293
Acton,2014,223,2014-08-11,127.0384424978096,52.78792360992331,202.85297950634538,73.22454416784615,158.798053122262
Acton,2014,237,2014-08-25,190.99579553921484,58.85052499696508,326.16550365764255,124.302722504371,NA
Castle,2014,155,2014-06-04,3.729214296622124,1.9200780007437834,5.4645441475573815,1.8817810789160023,4.470828918745425
Castle,2014,170,2014-06-19,2.7859357549938784,1.1062635416962368,4.436088127750582,0.9648417894881626,3.4655670478161364
Castle,2014,176,2014-06-25,2.775784328235203,1.2738829875900493,4.3876557779380425,1.064469468786788,NA
Castle,2014,183,2014-07-02,2.8129282488471636,1.1664829129202698,4.480873745031389,0.6817332338972962,3.540539925197474
Castle,2014,190,2014-07-09,2.4829374076105193,0.7514077385183939,4.176863594601826,0.6576454576502152,3.132469474943492
Castle,2014,197,2014-07-16,2.6982590414620957,1.0929458236306264,4.3289502283736825,1.2119257795615395,3.3728238018276198
Castle,2014,211,2014-07-30,3.268501193992192,1.8759252643764543,4.7383181279230024,1.5767267682520232,4.169747347830061
Castle,2014,218,2014-08-06,3.9283769137316704,2.4353939452830566,5.444927216669075,2.5836557014185004,4.910471142164588
Castle,2014,235,2014-08-23,4.49150353106415,3.0694748223964257,5.93280479279796,1.5302260806382029,5.6143794138301875
Castle,2015,175,2015-06-24,3.678148379629684,1.9016549446074804,5.497895234647103,0.4588673735451791,4.597685474537105
Castle,2015,182,2015-07-01,5.101181865185401,3.3418723692163916,6.844353146525185,0.5220357296764844,5.856147532755015
Castle,2015,196,2015-07-15,2.944094978632138,1.4070680022204212,4.515364777930784,1.0623756701987581,3.680118723290173
Castle,2015,210,2015-07-29,2.814951564516634,1.372858649939193,4.3058376643255425,1.1561578907697532,3.545724516320237
Castle,2015,224,2015-08-12,2.953215380825945,1.6077495747381565,4.3422178124063056,1.7061699241402979,3.765425822206816
Castle,2015,241,2015-08-29,2.269426300215765,1.1863399987415117,3.472020209787523,0.7595257306970169,3.542578340001242
