lake,year,yday,date,o2_pp_mmolcm3d,o2_pp_025_ci,o2_pp_975_ci,c14_pp_mmolcm3d,avg_o2_pp_mmolcm3d
Acton,2010,152,2010-06-01,NA,NA,NA,NA,NA
Acton,2010,153,2010-06-02,NA,NA,NA,NA,NA
Acton,2010,154,2010-06-03,315.04079273860754,172.48596209832448,463.99303383527666,NA,NA
Acton,2010,155,2010-06-04,172.14151537868082,95.93454231267076,250.90403974192026,NA,NA
Acton,2010,156,2010-06-05,NA,NA,NA,NA,NA
Acton,2010,157,2010-06-06,219.4847803344288,127.76635031278701,316.0150400491867,NA,NA
Acton,2010,158,2010-06-07,309.0784932301271,198.07100624265007,422.10793651382744,252.98476396636417,NA
Acton,2010,159,2010-06-08,95.86791119046451,61.471336524347734,133.94804893263606,NA,NA
Acton,2010,160,2010-06-09,144.19507740802914,97.72186678471476,195.22280950940478,NA,NA
Acton,2010,161,2010-06-10,324.8893462956681,231.83798477197433,417.641420725986,NA,NA
Acton,2010,162,2010-06-11,155.3704081770092,110.92047438407205,201.98241411660467,NA,NA
Acton,2010,163,2010-06-12,224.71634614243894,167.1256846571207,282.8762147074323,NA,NA
Acton,2010,164,2010-06-13,438.53399546996343,335.85241364843074,546.0205357239089,NA,NA
Acton,2010,165,2010-06-14,148.24256915265568,107.79578475665357,190.2011027354891,184.16451586046125,184.90299782191215
Acton,2010,166,2010-06-15,138.5732197781019,101.15025720987889,177.55922100471764,NA,NA
Acton,2010,167,2010-06-16,553.1282825634407,429.87298768107274,678.452576816466,NA,NA
Acton,2010,168,2010-06-17,184.90299782191215,131.3364143676177,238.81145783445936,NA,NA
Acton,2010,169,2010-06-18,121.14480834718124,83.44657247285397,160.2948074814429,NA,NA
Acton,2010,170,2010-06-19,397.5304688613069,293.2612305328169,502.19483463921017,NA,NA
Acton,2010,171,2010-06-20,NA,NA,NA,NA,NA
Acton,2010,172,2010-06-21,NA,NA,NA,NA,NA
Acton,2010,173,2010-06-22,NA,NA,NA,NA,NA
Acton,2010,174,2010-06-23,NA,NA,NA,NA,NA
Acton,2010,175,2010-06-24,401.24822889204245,279.53351650570823,523.2879217656413,NA,NA
Acton,2010,176,2010-06-25,210.5382975769453,134.23749738488374,286.67060825715396,NA,NA
Acton,2010,177,2010-06-26,NA,NA,NA,NA,NA
Acton,2010,178,2010-06-27,NA,NA,NA,NA,NA
Acton,2010,179,2010-06-28,451.1178892956568,318.44330831303824,583.8593777375651,280.0974107068521,NA
Acton,2010,180,2010-06-29,427.84915348276235,281.0157621362088,574.2393360143949,NA,NA
Acton,2010,181,2010-06-30,415.4329603366208,280.18780754407356,549.79506059104,NA,NA
Acton,2010,182,2010-07-01,327.3541400376547,215.6792347908889,440.61687648333157,NA,NA
Acton,2010,183,2010-07-02,141.44566449561984,56.88735333274373,222.87190636584901,NA,NA
Acton,2010,184,2010-07-03,206.68697054325344,108.98328838528343,303.6277137474139,NA,NA
Acton,2010,185,2010-07-04,270.22275441756045,170.3878921702127,369.9658521053904,NA,NA
Acton,2010,186,2010-07-05,249.02171844757132,154.77832958938285,344.5398236983112,NA,NA
Acton,2010,187,2010-07-06,NA,NA,NA,NA,NA
Acton,2010,188,2010-07-07,NA,NA,NA,NA,NA
Acton,2010,189,2010-07-08,NA,NA,NA,NA,NA
Acton,2010,190,2010-07-09,NA,NA,NA,NA,NA
Acton,2010,191,2010-07-10,NA,NA,NA,NA,NA
Acton,2010,192,2010-07-11,NA,NA,NA,NA,NA
Acton,2010,193,2010-07-12,322.1124846333204,161.68216704691957,480.45860733544544,238.4272749979186,NA
Acton,2010,194,2010-07-13,54.895590171599636,3.053419307061739,153.64962673543357,NA,NA
Acton,2010,195,2010-07-14,129.0391935394819,14.426055793690116,267.63059656672056,NA,NA
Acton,2010,196,2010-07-15,101.07793918910296,9.725661235476844,230.53240048647794,NA,NA
Acton,2010,197,2010-07-16,300.55580133550166,137.96371681678914,463.18058719324426,NA,NA
Acton,2010,198,2010-07-17,166.54826045487397,39.329580251954745,305.0417221229247,NA,NA
Acton,2010,199,2010-07-18,109.24192664919906,11.505194035543342,232.83944400578798,NA,NA
Acton,2010,200,2010-07-19,387.15356032575465,227.82286552160318,543.8461194342937,226.91699275663976,289.8789509859771
Acton,2010,201,2010-07-20,289.8789509859771,160.61447375995417,416.4638468320546,NA,NA
Acton,2010,202,2010-07-21,509.7774831292292,355.5226432897166,665.0332195968448,NA,NA
Acton,2010,203,2010-07-22,28.330355443899094,1.1623453922404465,119.72905784276614,NA,NA
Acton,2010,204,2010-07-23,284.5390401518174,135.46143704730338,435.83071312659223,NA,NA
Acton,2010,205,2010-07-24,319.12075091562576,154.4130985707998,480.4649610758559,NA,NA
Acton,2010,206,2010-07-25,289.7355393815138,132.12598196291714,451.1117643624822,NA,NA
Acton,2010,207,2010-07-26,57.503061622567905,2.6078021005838248,189.81441017526086,248.31404545832987,284.5390401518174
Acton,2010,208,2010-07-27,140.94548176390256,20.735554486110296,285.8722900268844,NA,NA
Acton,2010,209,2010-07-28,178.71730692632082,51.73692220326075,309.68748569216166,NA,NA
Acton,2010,210,2010-07-29,321.1038854985423,166.30803565568326,479.6953942717799,NA,NA
Acton,2010,211,2010-07-30,56.06730278100122,2.6336075418149933,172.86198907038712,NA,NA
Acton,2010,212,2010-07-31,49.633746685110054,3.0732262770807712,131.06651852897636,NA,NA
Acton,2010,213,2010-08-01,127.83025946915764,23.349152457111934,242.41622636767792,NA,NA
