datetime,year,yday,hour,do,wtemp,par,par_sp,wspeed,z,do_eq,o2_sat,par_int
2012-05-22T12:00:00Z,2012,143,13,10.239999999999998,14.970594262295082,890.9,761.5245901639345,3.9,7.8981019902811775,9.540724289874634,1.0732937761200678,339.78315371690866
2012-05-22T13:00:00Z,2012,143,14,10.319999999999999,14.86764344262295,743.3,714.3737704918033,5.3,7.9065375171691485,9.544391001429192,1.0812633303114536,283.2604387915562
2012-05-22T14:00:00Z,2012,143,15,10.309999999999999,14.955348360655737,1449.5,1393.0459016393443,5.7,7.91497304405712,9.516170474092485,1.0834190106270891,551.9364768250831
2012-05-22T15:00:00Z,2012,143,16,10.299999999999999,15.035512295081967,1313.6,1063.9737704918032,6.4,7.923408570945091,9.490292676877482,1.08531953130332,499.785075771296
2012-05-22T16:00:00Z,2012,143,17,10.309999999999999,15.029118852459016,906.9,851.844262295082,6.4,7.931844097833062,9.481176058638265,1.0874178410184245,344.76962098031674
2012-05-22T17:00:00Z,2012,143,18,10.329999999999998,15.048463114754098,694.1,574.4262295081967,7.3,7.940279624721034,9.470871248818854,1.0907127473925156,263.6581857776923
2012-05-22T18:00:00Z,2012,143,19,10.329999999999998,14.99780737704918,382.3,303.0065573770492,7.2,7.948715151609005,9.477011783602793,1.090006031001571,145.10197306010824
2012-05-22T19:00:00Z,2012,143,20,10.329999999999998,14.972561475409835,54.9,56.95706557377049,5.4,7.957150678496976,9.4798332251908,1.0896816172409074,20.82050929080924
2012-05-22T20:00:00Z,2012,143,21,10.319999999999999,14.940430327868851,1.1,1.9109411764705881,4.8,7.965586205384948,9.473668936790213,1.0893350895895388,0.416832768458302
2012-05-22T21:00:00Z,2012,143,22,10.309999999999999,14.927151639344261,0.4,0.126,5.4,7.974021732272919,9.491804382137138,1.0862002191493372,0.15145356541763028
2012-05-22T22:00:00Z,2012,143,23,10.26,14.90780737704918,0.5,0.1575,6.2,7.98245725916089,9.492294535529743,1.080876700738344,0.18916467405167312
2012-05-22T23:00:00Z,2012,143,24,10.25,14.891577868852458,0.5,0.126,7.9,7.990892786048862,9.481503631981704,1.0810521619615383,0.18901259171973459
2012-05-23T00:00:00Z,2012,144,1,10.219999999999999,14.844528688524589,0.6,0.1386,7.5,8.039487980509726,9.496269264181915,1.0762121119024979,0.22717564771683726
2012-05-23T01:00:00Z,2012,144,2,10.209999999999999,14.815348360655737,0.5,0.168,6.8,8.031581718307313,9.498768248219182,1.0748762084930494,0.18945478473762403
2012-05-23T02:00:00Z,2012,144,3,10.2,14.78747950819672,0.6,0.135,6.1,8.035244911797395,9.491601482574398,1.074634245730412,0.227266906469608
2012-05-23T03:00:00Z,2012,144,4,10.18,14.764692622950818,0.5,0.147,5.9,8.061850207585213,9.504102582712813,1.0711163848879945,0.18891306378633796
2012-05-23T04:00:00Z,2012,144,5,10.17,14.742561475409836,1.6,3.5944444444444446,6.2,8.095271089316235,9.506914979510302,1.0697476544093227,0.6026171647475663
2012-05-23T05:00:00Z,2012,144,6,10.159999999999998,14.71469262295082,82.4,84.2311475409836,6.1,8.125282097077724,9.499514863730749,1.0695283017863353,30.947133646349805
2012-05-23T06:00:00Z,2012,144,7,10.159999999999998,14.70715163934426,225.6,212.80819672131148,6.9,8.151197918869949,9.499173665464413,1.0695667178860107,84.5227096212823
2012-05-23T07:00:00Z,2012,144,8,10.159999999999998,14.706149817850635,308,329.23770491803276,7.1,8.173073306311146,9.523261916984506,1.0668613431580503,115.15757326288006
2012-05-23T08:00:00Z,2012,144,9,10.17,14.734344262295082,952.2,1013.3918032786885,6.6,8.193548968100947,9.51126067455885,1.069258886700811,355.3330562072507
2012-05-23T09:00:00Z,2012,144,10,10.18,14.764692622950818,766.4,808.3213114754099,7.7,8.212058632760572,9.498316824184705,1.071768839514764,285.5022748033985
2012-05-23T10:00:00Z,2012,144,11,10.18,14.77092213114754,681.9,735.2344262295082,7,8.228099651202118,9.494747829946679,1.0721717082250481,253.64281512439837
