date	event	z	s62	p80	type
2007-06-18	13684	9.989583333333334	626.2253143616435	632.322732016042	m2
2007-06-19	13684	9.841666666666667	823.1570360161209	827.0012833864107	m2
2007-06-20	13684	9.7875	829.3266181570016	836.0665358859394	m2
2007-06-21	13684	9.470833333333333	775.9273983293882	794.722908638766	m2
2007-06-22	13684	8.7625	717.6526522491829	736.9939221333409	m2
2007-07-15	13711	9.504166666666666	854.0779939695792	851.5739869265274	m2
2007-07-16	13711	9.4625	843.6702977806962	842.1364772673517	m2
2007-07-17	13711	8.777083333333334	716.7460055536011	715.3143693512492	m2
2007-07-18	13711	9.114583333333334	769.7622212326205	769.3736921406233	m2
2007-07-19	13711	9.270833333333334	796.1043028192408	794.136607395227	m2
2007-07-29	13725	8.989583333333334	891.1520504630705	890.8384464873566	m2
2007-07-30	13725	9.21875	908.7549901973752	909.769537368263	m2
2007-07-31	13725	8.941666666666666	885.3816383291492	886.2599710410354	m2
2007-08-01	13725	8.50625	846.3759470321245	848.8284750342839	m2
2007-08-02	13725	8.479166666666666	840.5513001062967	842.6967759326293	m2
2007-09-19	13777	13.372916666666667	1095.094953337081	1130.6336402825902	m2
2007-09-20	13777	13.19375	823.2365347169448	882.6327327179388	m2
2007-09-21	13777	13.710416666666667	796.8379595146615	834.7496927618126	m2
2007-09-22	13777	13.7375	1326.8411846339523	1362.725249994554	m2
2007-09-23	13777	13.770833333333334	1271.5125303024251	1309.1622894940147	m2
2008-05-31	14028	7.897916666666667	810.9386388197473	832.6060824380681	m2
2008-06-09	14041	7.722916666666666	613.8826593267877	602.5839598718986	m2
2008-06-10	14041	7.935416666666667	603.4859464765007	593.8400780358228	m2
2008-06-11	14041	8.145833333333332	393.9308383811007	391.23038580875385	m2
2008-06-12	14041	8.360416666666667	361.8903653060193	364.35821780382173	m2
2008-06-13	14041	8.570833333333333	646.4943925322611	634.9784926622488	m2
2008-07-01	14063	9.227083333333333	1026.9166657675994	1037.4732275346357	m2
2008-07-02	14063	9.208333333333334	977.4318583536743	981.0047229938244	m2
2008-07-03	14063	8.820833333333333	871.6752534313397	892.3840454100625	m2
2008-07-04	14063	8.48125	878.0360688381775	893.5713950621563	m2
2008-07-05	14063	9.122916666666667	1017.7021803670733	1020.9223769343756	m2
2008-07-16	14078	8.283333333333333	753.6539317658807	762.6107782675833	m2
2008-07-17	14078	8.333333333333334	619.6431931950078	655.1582920710503	m2
2008-07-18	14078	8.418750000000001	678.9588274285807	757.1414332986723	m2
2008-07-19	14078	8.310416666666667	624.1145781888038	691.749363284323	m2
2008-07-20	14078	8.2375	674.5220833139189	711.1735901592965	m2
2008-07-29	14091	8.387500000000001	406.4216273585561	407.6204477120241	m2
2008-07-30	14091	8.439583333333333	442.0625419584401	448.66897037906347	m2
2008-07-31	14091	8.116666666666667	439.1401386721958	443.9302971909122	m2
2008-08-01	14091	8.1875	419.96815801435105	431.37602425498187	m2
2008-08-02	14091	8.725	432.8532745530389	444.6613178425825	m2
2008-08-12	14105	8.1	423.209738542812	420.7456437733874	m2
2008-08-13	14105	8.125	452.7045941446581	450.391666937744	m2
2008-08-14	14105	8.254166666666666	506.37305963638414	540.0925833666621	m2
2008-08-15	14105	8.3	505.2623363956783	538.775468134794	m2
2008-08-16	14105	8.3	418.41927141946184	437.6198050781304	m2
2008-08-24	14117	9.681249999999999	441.8145592428338	471.7327143369744	m2
2008-08-25	14117	9.7	394.2383149167108	469.68554106302054	m2
2008-08-26	14117	9.6625	388.1203711015224	459.95938384575607	m2
2008-08-27	14117	9.779166666666667	464.6481779571818	478.97219518233425	m2
2008-08-28	14117	9.918750000000001	346.85580392596603	371.5810167937525	m2
2009-05-05	14370	14.44375	1474.6055220532082	1524.1895131865128	m2
2009-05-06	14370	4.466666666666667	438.3945670824011	477.2304776844118	m2
